Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
2,0,0,0,0,0,1,0,2,3,6,14,15,20,21
3,0,0,0,0,0,0,0,1,2,4,7,12,20,40
4,0,0,0,0,0,0,0,0,0,1,4,5,12,19
5,0,1,1,1,2,5,5,0,5,8,12,19,33,53
6,0,0,0,0,0,0,0,0,0,4,5,7,11,17
7,1,1,2,3,4,5,5,4,0,10,7,0,28,24
8,0,0,0,0,2,3,4,4,6,3,13,16,35,48
9,0,0,0,3,0,4,4,5,5,7,12,10,22,30
10,0,0,0,0,0,0,0,0,0,0,1,4,8,14
11,0,0,0,1,1,1,1,1,3,5,6,12,21,36
12,0,0,0,0,0,1,1,1,1,2,4,7,18,32
13,4,4,0,5,6,5,7,12,14,19,26,34,59,38
14,0,0,0,0,1,2,2,2,3,2,3,16,20,41
15,0,0,0,0,3,3,5,6,7,7,12,17,26,29
16,0,0,0,0,0,0,0,0,0,0,1,1,3,7
17,0,0,0,0,0,0,0,3,5,8,14,16,25,20
18,0,0,0,0,0,1,1,1,3,4,8,10,15,17
19,0,0,0,0,0,2,4,6,7,13,19,22,38,57
20,0,0,0,0,0,0,0,0,0,0,1,1,4,12
21,0,0,0,0,0,0,0,0,0,0,3,6,6,15
22,0,1,1,1,2,2,3,4,3,9,12,16,29,47
23,0,0,0,0,0,0,2,2,2,2,2,2,5,9
24,0,0,0,0,0,0,0,3,4,8,11,15,19,19
25,0,0,0,0,1,1,1,1,2,4,6,8,14,14
26,0,0,0,0,0,0,0,0,1,3,5,6,9,15
27,0,0,0,0,0,0,0,1,1,0,4,7,8,11
28,0,0,0,0,1,1,2,3,4,5,7,6,23,23
29,0,0,1,1,1,2,2,3,4,6,13,15,32,41
30,0,0,0,0,0,1,1,1,2,2,2,3,9,14
31,0,0,1,0,2,2,2,2,3,0,5,9,20,26
32,0,0,0,0,0,0,0,0,0,2,3,5,9,16
33,0,0,0,2,2,2,2,4,8,9,13,17,24,21
34,0,0,1,3,4,4,4,4,6,8,13,15,25,31
35,0,0,0,1,1,1,2,2,3,3,5,9,25,0
36,0,0,0,0,0,0,0,0,0,2,4,6,19,28
37,0,0,0,0,0,0,0,0,0,3,3,3,10,13
38,0,0,0,0,0,0,2,2,4,7,9,11,20,38
39,0,0,0,0,0,0,0,1,2,2,6,9,24,40
40,0,0,1,2,2,2,4,4,6,8,8,13,30,40
41,0,0,0,0,1,1,0,3,6,9,17,20,23,0
42,0,0,0,0,0,0,0,0,1,2,3,8,13,24
43,0,0,0,0,0,0,0,0,0,0,1,5,12,31
44,0,0,0,1,1,2,2,3,5,8,11,14,21,35
45,0,0,0,0,0,0,1,1,3,4,4,6,13,37
46,0,0,0,0,0,0,0,2,2,3,4,7,11,20
47,0,0,0,0,0,0,0,2,3,5,7,0,8,9
48,0,0,0,0,0,0,0,0,0,0,0,1,1,3
49,1,1,1,1,1,3,4,4,8,9,14,16,26,40
50,0,0,0,0,0,0,0,0,0,2,4,5,10,16
51,0,0,0,0,0,0,1,2,2,2,2,6,10,14
52,0,0,0,0,1,2,3,4,6,10,11,11,16,24
53,0,0,0,1,2,3,3,3,6,9,13,13,31,51
54,1,1,1,2,3,5,6,8,9,14,18,14,33,24
55,0,0,0,1,1,2,2,2,2,3,8,10,15,22
56,0,0,0,0,2,0,2,2,3,4,7,0,8,31
57,0,0,0,0,1,1,1,1,2,7,10,13,22,33
58,0,0,1,1,1,1,2,4,8,9,11,17,32,50
59,0,0,0,0,0,0,0,2,2,2,7,8,20,39
60,0,0,0,0,0,2,3,5,9,11,13,16,0,40
62,0,0,0,0,0,0,0,0,0,1,1,2,6,10
63,0,0,0,0,0,0,0,0,2,6,8,9,14,28
64,0,0,0,2,2,2,4,6,7,10,11,12,19,38
65,0,0,0,0,0,0,0,0,0,0,3,5,10,26
66,0,0,0,0,0,0,0,0,0,0,1,1,1,3
67,0,0,0,0,2,2,2,2,2,5,6,7,11,22
68,0,0,0,0,0,0,0,0,0,2,4,5,6,12
69,0,0,0,0,0,0,0,3,4,6,9,10,18,25
70,0,0,0,0,0,0,0,0,0,0,2,3,7,15
71,0,0,0,0,0,0,0,0,0,1,1,1,6,21
72,0,0,0,0,1,2,2,2,3,9,15,16,26,39
73,0,0,0,0,0,0,0,0,0,0,1,2,7,8
74,0,0,1,0,3,3,3,3,4,6,11,15,34,42
75,0,0,0,0,0,0,0,0,0,1,3,3,5,11
76,0,0,0,0,1,1,2,3,0,5,5,6,9,7
77,0,0,0,0,0,1,1,2,3,5,10,0,11,32
78,0,0,1,0,4,4,4,4,4,6,7,9,13,19
79,0,0,0,0,0,0,0,0,0,0,0,2,9,12
80,0,0,0,0,0,0,2,2,3,5,9,13,24,39
82,0,0,0,0,0,0,0,0,0,0,1,1,8,0
83,0,0,0,0,1,1,1,1,1,1,3,5,8,13
84,0,0,0,0,0,0,0,0,0,0,0,0,2,4
85,0,0,0,0,0,0,0,0,0,0,0,1,4,8
86,0,0,0,0,0,0,0,0,0,0,4,6,12,17
87,0,0,0,0,0,0,0,1,1,1,1,4,7,11
88,0,0,0,0,0,0,1,1,1,1,1,3,6,0
89,0,0,0,1,1,2,2,4,6,10,20,23,35,45
90,0,0,0,0,0,0,0,0,0,0,2,2,5,12
91,0,0,0,0,0,0,0,0,0,0,0,0,0,4
92,0,0,1,4,6,7,7,7,8,9,14,15,28,26
93,0,0,0,1,2,2,2,2,5,6,7,9,13,14
94,0,0,0,0,0,0,0,0,0,2,3,4,5,6
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,1,1,1
97,1,1,1,1,1,2,2,5,6,8,13,0,14,26
98,0,0,0,0,0,0,0,0,0,0,1,3,9,14
99,0,0,0,0,1,1,1,2,3,4,0,0,25,43
100,0,0,0,0,0,0,0,0,0,0,0,0,2,2
101,0,0,3,0,4,4,5,6,9,17,22,22,41,27
102,0,0,0,0,1,1,1,2,5,7,12,10,19,30
103,0,0,0,0,0,0,1,1,1,5,7,9,11,19
104,0,0,0,0,0,0,0,0,0,0,0,1,1,2
105,0,0,0,0,0,0,0,0,0,0,0,0,1,7
106,0,0,1,1,2,2,2,2,2,3,7,0,8,32
107,0,0,0,0,0,0,0,0,0,0,0,2,2,2
108,0,0,0,0,0,0,0,0,0,0,1,1,5,5
109,0,0,0,0,0,0,0,1,2,3,7,11,24,47
110,0,0,0,0,0,0,0,0,0,0,1,3,6,11
112,0,0,0,0,0,0,0,0,0,0,2,3,5,10
113,0,0,0,0,0,0,1,2,2,3,6,9,20,0
114,0,0,0,0,0,0,0,0,0,0,0,0,1,3
115,0,0,0,0,0,0,0,0,0,0,4,7,9,12
116,0,0,0,2,0,2,2,3,3,6,10,0,11,26
117,0,0,0,0,0,0,1,3,4,4,7,8,15,18
118,0,0,0,0,0,0,0,0,0,0,0,0,2,5
119,0,0,0,0,0,0,0,0,0,0,1,1,4,10
120,0,0,0,1,2,3,4,5,9,13,23,0,28,35
121,0,0,0,0,0,1,1,2,2,2,4,9,10,17
122,0,0,0,0,0,0,0,0,0,0,2,4,5,7
123,0,0,0,0,0,0,0,0,0,0,0,3,5,9
124,0,0,0,0,0,0,0,0,1,1,3,7,14,23
125,0,0,0,0,0,2,2,2,2,3,4,6,8,13
126,0,0,0,0,2,2,2,2,3,7,8,19,21,42
127,0,0,0,0,0,0,1,1,1,1,3,4,11,18
128,0,0,0,0,0,0,0,0,0,0,2,3,3,7
129,0,0,0,0,0,0,0,0,0,1,4,7,15,24
130,0,0,0,0,0,0,0,0,0,0,0,0,2,4
131,0,0,0,2,2,2,3,4,5,8,10,14,16,25
132,0,0,0,0,0,0,0,1,1,2,3,3,30,16
133,1,1,1,1,2,3,4,5,5,7,13,13,35,50
134,0,0,0,0,0,0,0,0,0,1,2,5,6,27
135,0,0,0,0,0,0,0,0,0,0,2,3,3,6
136,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,0,0,0,0,1,3,4,6,6,8,14,21,41,45
138,0,0,0,0,0,0,0,0,0,0,1,2,4,9
139,0,0,0,0,0,0,0,0,2,2,2,3,7,22
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,1,3,4,12
142,0,0,0,0,1,0,1,1,3,3,4,6,11,18
143,0,0,0,0,0,0,0,0,0,0,0,1,4,11
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,1,1,2,4,10,20
146,0,0,0,0,1,1,1,2,2,3,3,6,17,36
147,0,0,1,3,4,4,4,5,6,8,11,9,11,0
148,0,0,0,0,0,0,0,0,0,3,8,9,15,15
149,0,0,0,0,0,0,0,0,0,1,4,0,8,18
150,0,0,0,0,0,0,0,0,0,0,0,0,2,9
151,0,0,0,0,0,0,0,0,0,0,2,5,10,16
152,0,0,0,3,0,4,4,5,5,7,12,10,22,30
153,0,0,0,0,0,0,0,1,1,2,6,8,11,28
154,0,0,0,0,0,0,0,0,0,1,2,0,2,12
155,0,0,0,0,0,0,0,0,0,2,3,4,6,11
156,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,0,0,0,0,0,0,2,2,2,3,5,8,10,0
158,0,0,0,0,0,0,0,0,1,3,5,6,15,30
159,0,0,0,0,0,0,0,0,3,6,9,11,16,18
160,0,0,0,0,0,1,1,2,4,4,7,8,13,23
161,0,0,0,0,0,0,0,0,0,1,3,4,8,14
162,0,0,0,0,0,0,0,1,1,2,5,8,19,32
163,0,0,0,0,0,0,1,2,3,3,6,10,21,42
164,0,0,1,1,1,3,4,6,11,13,16,18,23,22
165,0,0,0,0,0,0,0,0,0,0,2,4,8,21
166,0,0,0,0,0,0,0,0,1,4,8,15,29,48
167,0,0,0,0,0,1,1,2,2,6,0,11,18,35
168,0,0,0,0,0,1,2,3,4,10,12,31,40,57
169,0,0,0,0,1,3,3,5,6,7,9,11,15,22
170,0,0,0,0,0,0,0,0,0,0,2,5,9,15
171,0,0,0,0,0,0,1,1,3,5,9,10,14,19
172,0,0,0,0,0,0,0,0,0,0,2,3,5,9
173,0,0,0,0,0,0,0,0,3,4,5,7,12,19
174,0,0,0,0,1,2,2,2,4,7,10,15,0,27
175,0,0,0,0,1,2,2,2,3,5,6,9,15,16
176,0,0,2,2,2,3,5,6,9,13,9,26,34,0
177,0,0,0,0,0,0,0,0,0,0,0,0,4,7
178,0,0,0,0,0,0,0,0,0,1,4,5,9,24
179,0,0,0,0,0,0,0,0,0,0,0,3,5,12
180,0,0,0,0,0,0,0,0,1,3,7,8,21,40
181,0,0,0,0,0,2,2,3,3,4,5,19,19,44
182,0,0,0,0,0,0,0,0,2,3,4,16,22,29
183,0,0,0,0,0,0,0,0,0,0,2,6,10,25
184,0,0,0,0,0,0,0,0,0,0,0,1,2,9
185,0,0,0,0,0,0,0,1,1,3,4,7,11,23
186,0,0,0,0,0,0,0,0,0,0,0,0,25,31
187,0,0,0,0,0,0,0,1,3,8,8,16,29,34
188,0,0,0,0,0,0,0,0,1,1,5,6,11,17
189,0,0,0,0,0,0,1,2,3,6,10,12,17,40
190,0,0,0,0,0,0,0,1,1,0,1,4,8,15
191,0,0,0,0,0,1,1,2,3,5,9,0,12,28
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,2,2,3,3,0,4,12
194,0,0,0,0,0,0,0,0,1,1,3,4,7,13
195,0,0,0,0,0,0,0,0,1,3,4,4,10,18
196,0,0,0,0,0,0,0,0,0,0,0,2,3,3
197,0,0,0,0,0,0,0,0,2,2,0,8,13,25
198,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199,0,0,1,1,2,3,4,4,4,5,10,19,29,33
200,0,0,1,1,1,1,2,4,8,9,11,17,32,50
201,0,0,0,0,2,2,2,0,2,5,6,7,8,10
202,0,0,0,0,0,0,0,0,1,2,5,8,16,27
203,0,0,0,0,0,0,1,1,1,1,5,8,16,17
204,0,0,0,0,0,1,2,4,4,3,7,16,31,54
206,0,0,0,0,0,0,0,0,1,4,5,9,12,28
207,0,0,0,0,0,0,0,2,2,4,7,8,12,17
208,0,0,0,0,1,2,4,5,7,10,14,14,19,23
209,0,0,0,0,0,0,0,0,0,0,1,2,10,24
210,0,0,0,0,0,0,0,0,0,0,3,0,7,14
211,0,0,0,0,0,0,1,2,2,2,5,5,11,14
212,0,0,1,1,3,5,6,10,13,15,20,0,18,23
213,0,0,0,0,0,0,0,0,0,0,0,0,1,1
214,0,0,0,0,0,0,0,0,0,0,0,0,3,11
215,0,0,0,0,0,0,0,0,0,1,3,4,5,11
216,0,0,0,0,0,0,0,0,0,1,2,3,5,18
217,0,0,0,0,0,0,1,1,1,2,6,7,10,14
218,0,0,0,0,0,0,0,0,1,1,5,6,15,28
219,0,0,0,2,3,3,3,3,4,4,9,10,18,17
220,0,0,5,0,0,3,3,3,3,4,4,6,8,17
221,0,0,0,0,0,0,0,0,0,0,0,2,4,10
222,0,0,1,1,1,3,3,3,6,11,13,23,56,43
223,0,0,0,0,0,0,0,0,0,2,4,6,9,18
224,0,0,0,0,0,0,0,0,0,1,3,0,5,7
225,0,0,0,0,0,1,1,1,2,2,2,4,11,20
226,0,0,0,0,0,0,0,0,0,0,0,1,3,4
227,0,0,0,0,0,1,2,2,3,5,6,12,39,60
228,0,0,0,0,0,0,0,0,0,3,4,8,10,20
229,0,0,5,0,0,3,3,3,3,4,4,6,8,17
230,0,0,0,0,0,0,0,0,0,1,4,5,7,10
231,0,0,0,0,0,0,0,1,2,3,3,5,9,19
232,0,0,0,0,0,0,0,0,2,3,5,6,9,17
233,0,0,0,0,3,3,5,6,7,7,8,12,29,33
234,0,0,0,0,0,1,2,2,0,5,10,10,22,44
235,0,1,1,2,4,5,7,10,11,15,23,19,37,51
236,0,0,0,0,0,0,0,0,1,3,4,8,8,12
237,1,1,1,2,3,4,7,7,7,14,21,26,30,38
238,0,0,0,0,0,0,2,4,6,10,10,15,24,33
239,0,0,0,0,0,0,0,2,2,3,3,6,10,23
240,0,0,0,5,5,5,5,6,9,10,16,23,33,40
241,0,0,0,0,0,0,0,1,1,3,4,6,7,13
242,0,0,0,0,1,2,2,5,8,9,15,10,32,47
243,0,0,0,0,0,0,0,1,2,2,2,8,13,24
244,0,0,0,0,0,0,0,1,3,6,11,11,18,27
245,0,0,0,0,0,0,0,0,1,4,7,8,14,21
246,0,0,0,0,0,0,1,1,3,4,5,7,12,20
247,0,0,0,0,0,1,1,1,1,3,4,7,11,17
248,1,1,1,1,2,2,5,8,9,12,16,18,24,30
249,0,0,0,0,0,0,0,0,1,3,5,7,19,37
250,0,0,0,0,0,0,0,0,1,1,1,1,4,10
251,0,0,0,0,2,3,5,7,10,12,10,22,36,47
252,0,0,1,1,1,1,1,1,4,5,8,12,22,33
253,0,0,0,0,1,1,4,6,7,9,11,14,24,38
254,0,0,0,0,0,0,1,1,1,3,4,7,10,19
255,0,0,0,0,0,0,0,0,0,0,0,1,2,6
256,0,0,1,3,0,3,3,4,5,6,10,12,21,45
257,0,0,0,0,2,3,4,8,11,16,20,25,49,54
258,0,0,0,0,0,0,0,0,0,1,1,2,3,7
259,0,0,0,0,0,0,0,1,1,1,1,2,3,8
261,0,0,0,0,0,0,0,0,0,0,1,1,2,17
263,0,0,0,0,0,0,0,0,0,0,2,2,4,4
264,0,0,0,0,0,0,0,0,1,2,3,8,15,0
265,0,0,0,0,0,0,0,0,0,0,0,1,3,9
266,0,0,0,0,0,0,0,0,0,0,0,1,4,8
267,0,1,1,1,1,1,1,2,4,6,0,7,21,36
268,0,1,0,0,0,0,0,0,0,0,4,6,12,16
269,0,0,0,0,0,0,0,0,0,0,0,1,0,4
270,0,0,0,0,0,0,0,0,0,2,6,7,10,23
271,0,0,0,0,1,2,2,0,3,4,9,9,18,31
272,0,0,0,0,0,0,0,0,0,1,0,6,9,0
273,0,0,0,0,1,1,1,2,2,5,9,10,16,25
274,0,0,0,0,1,2,2,2,3,6,11,13,23,24
275,0,0,0,0,0,0,0,0,2,5,8,12,23,16
276,0,0,1,2,2,2,2,2,2,2,0,2,6,19
277,0,0,0,0,0,0,0,0,0,0,2,4,5,11
278,0,0,0,0,0,0,0,0,0,0,1,4,11,18
280,0,0,0,0,0,0,1,1,3,5,10,12,21,32
281,0,0,0,0,0,0,0,0,1,3,5,8,15,28
282,0,0,0,0,0,0,0,0,0,0,0,0,1,3
283,0,0,0,0,1,2,2,2,2,2,7,9,20,36
284,0,0,0,3,0,0,0,1,2,3,6,9,13,21
285,0,0,0,0,0,0,1,1,1,0,1,7,13,22
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,2,3,8,23
288,0,0,0,0,0,0,0,0,0,2,3,4,11,14
289,0,0,0,0,0,0,0,1,1,3,5,6,8,13
290,0,0,0,0,0,0,0,0,0,0,0,1,3,7
291,0,0,0,0,1,2,2,4,2,3,6,6,6,8
293,0,0,0,0,0,0,0,0,0,0,12,0,4,7
294,0,0,0,0,0,1,2,2,2,6,6,8,12,23
295,0,0,0,0,0,0,0,1,3,5,8,0,15,31
296,0,0,0,0,0,0,0,0,0,0,1,2,2,9
297,0,0,0,0,1,1,1,1,1,1,2,4,13,0
298,0,0,0,0,0,0,0,0,0,2,4,7,14,15
299,0,0,0,0,0,0,0,0,0,0,2,2,5,6
301,0,0,0,1,1,3,3,5,7,10,10,14,30,38
302,0,0,0,0,0,1,1,1,1,2,5,7,8,0
304,0,0,3,3,4,4,4,4,4,5,6,17,28,52
305,0,0,0,0,0,0,0,0,0,2,5,6,13,18
306,0,0,0,0,0,0,0,0,0,0,0,1,4,11
310,0,0,2,2,2,2,2,3,5,0,5,9,18,41
311,0,0,0,0,0,0,0,0,0,1,1,1,2,10
312,0,0,0,0,0,0,0,0,0,0,0,0,3,6
313,0,0,0,0,0,0,1,1,2,3,5,6,7,15
314,0,0,0,0,0,0,1,0,4,4,6,11,16,26
316,0,0,0,1,0,3,4,7,8,10,10,11,11,12
317,0,0,0,0,0,0,0,0,0,0,1,3,8,18
319,0,0,0,0,0,0,0,0,0,0,1,1,1,3
322,0,0,0,0,1,1,1,1,1,2,3,3,5,8
323,0,0,0,0,0,0,0,0,0,0,1,1,4,7
324,0,0,0,0,1,0,1,2,2,2,2,2,5,2
325,0,0,0,0,0,0,0,0,0,0,1,4,9,0
327,0,0,0,0,0,0,0,0,0,0,0,0,1,2
328,0,0,0,0,0,0,0,1,1,1,1,1,1,1
329,0,0,0,0,0,0,0,0,0,0,1,3,4,0
330,0,0,0,0,0,0,0,0,0,0,1,5,12,26
331,0,0,0,0,0,0,0,0,0,3,6,9,9,44
332,0,0,0,0,2,2,2,2,3,7,8,19,21,42
333,0,0,0,0,0,0,0,0,0,0,2,6,10,15
335,0,0,0,1,1,0,1,1,1,1,0,1,2,8
336,0,0,0,0,0,0,0,0,0,1,1,2,4,7
337,0,0,0,0,0,0,0,0,0,0,0,1,2,6
338,0,0,0,0,0,0,1,3,5,7,8,11,23,14
339,0,0,0,0,0,0,0,0,0,0,1,1,1,1
340,0,0,0,0,0,0,0,0,1,2,4,9,17,40
341,0,0,0,0,0,0,0,0,0,1,3,4,6,12
342,0,0,0,0,0,0,0,0,0,1,1,4,4,9
343,0,0,0,0,0,0,0,0,0,1,0,0,3,5
344,0,0,0,0,0,0,0,0,0,0,0,2,3,6
345,0,0,0,0,1,0,2,2,4,6,0,9,16,27
346,0,0,0,0,0,0,0,0,0,0,0,2,5,10
347,0,0,2,3,3,4,4,1,5,6,10,13,25,34
353,0,0,0,0,0,0,0,0,0,0,1,3,7,12
355,0,0,0,0,1,1,1,2,2,4,0,6,12,20
357,0,0,0,0,0,0,0,0,0,2,3,7,12,15
362,0,0,0,0,0,0,0,0,0,3,4,4,7,10
363,0,0,0,0,0,0,0,0,0,1,2,3,9,15
365,0,0,0,0,0,0,0,0,0,0,0,1,6,10
367,0,0,0,0,0,0,0,0,0,0,2,4,5,6
368,0,0,0,0,0,0,0,0,2,2,5,10,14,22
369,0,0,0,0,0,0,0,0,0,0,0,2,1,5
371,0,0,0,0,0,0,0,1,1,3,5,11,0,0
375,0,0,0,0,0,0,0,0,0,0,4,5,8,18
377,0,0,0,0,0,0,0,0,0,0,2,0,4,8
378,0,0,0,0,0,0,0,0,0,0,3,5,9,16
382,0,0,0,0,0,0,0,1,2,3,7,13,26,45
383,0,0,0,0,0,0,0,0,0,0,0,0,2,7
384,0,0,0,1,1,1,1,3,4,5,10,14,21,39
386,0,0,0,0,0,0,1,2,3,3,0,6,9,15
388,0,0,0,0,0,0,0,0,0,0,1,2,3,9
